Potencial invasor,Registros,Interacción
Desconocido,15,Epibiosis
No,121,Epibiosis
Si,72,Epibiosis
Desconocido,13,Herbivoría
No,94,Herbivoría
Si,31,Herbivoría
Desconocido,0,Mutualismo
No,35,Mutualismo
Si,8,Mutualismo
Desconocido,1,Nidificación
No,8,Nidificación
Si,4,Nidificación
Desconocido,4,Oviposición
No,45,Oviposición
Si,12,Oviposición
Desconocido,1,Parasitismo
No,9,Parasitismo
Si,1,Parasitismo
Desconocido,40,Visita floral
No,559,Visita floral
Si,167,Visita floral
